GPIO,FrameID,Timestamp
4,531746,2.42764E+12
4,531747,2.42764E+12
4,531748,2.42764E+12
4,531749,2.42764E+12
4,531750,2.42765E+12
4,531751,2.42765E+12
4,531752,2.42765E+12
4,531753,2.42765E+12
4,531754,2.42765E+12
4,531755,2.42765E+12
4,531756,2.42766E+12
4,531757,2.42766E+12
4,531758,2.42766E+12
4,531759,2.42766E+12
4,531760,2.42766E+12
4,531761,2.42766E+12
4,531762,2.42766E+12
4,531763,2.42767E+12
4,531764,2.42767E+12
4,531765,2.42767E+12
4,531766,2.42767E+12
4,531767,2.42767E+12
4,531768,2.42767E+12
4,531769,2.42767E+12
4,531770,2.42768E+12
4,531771,2.42768E+12
4,531772,2.42768E+12
4,531773,2.42768E+12
4,531774,2.42768E+12
4,531775,2.42768E+12
4,531776,2.42768E+12
4,531777,2.42769E+12
4,531778,2.42769E+12
4,531779,2.42769E+12
4,531780,2.42769E+12
4,531781,2.42769E+12
4,531782,2.42769E+12
4,531783,2.4277E+12
4,531784,2.4277E+12
4,531785,2.4277E+12
4,531786,2.4277E+12
4,531787,2.4277E+12
4,531788,2.4277E+12
4,531789,2.4277E+12
4,531790,2.42771E+12
4,531791,2.42771E+12
4,531792,2.42771E+12
4,531793,2.42771E+12
4,531794,2.42771E+12
4,531795,2.42771E+12
4,531796,2.42771E+12
4,531797,2.42772E+12
4,531798,2.42772E+12
4,531799,2.42772E+12
4,531800,2.42772E+12
4,531801,2.42772E+12
4,531802,2.42772E+12
4,531803,2.42772E+12
4,531804,2.42773E+12
4,531805,2.42773E+12
4,531806,2.42773E+12
4,531807,2.42773E+12
4,531808,2.42773E+12
4,531809,2.42773E+12
4,531810,2.42774E+12
4,531811,2.42774E+12
4,531812,2.42774E+12
4,531813,2.42774E+12
4,531814,2.42774E+12
4,531815,2.42774E+12
4,531816,2.42774E+12
4,531817,2.42775E+12
4,531818,2.42775E+12
4,531819,2.42775E+12
4,531820,2.42775E+12
4,531821,2.42775E+12
4,531822,2.42775E+12
4,531823,2.42775E+12
4,531824,2.42776E+12
4,531825,2.42776E+12
4,531826,2.42776E+12
4,531827,2.42776E+12
4,531828,2.42776E+12
4,531829,2.42776E+12
4,531830,2.42776E+12
4,531831,2.42777E+12
4,531832,2.42777E+12
4,531833,2.42777E+12
4,531834,2.42777E+12
4,531835,2.42777E+12
4,531836,2.42777E+12
4,531837,2.42778E+12
4,531838,2.42778E+12
4,531839,2.42778E+12
4,531840,2.42778E+12
4,531841,2.42778E+12
4,531842,2.42778E+12
4,531843,2.42778E+12
4,531844,2.42779E+12
4,531845,2.42779E+12
4,531846,2.42779E+12
4,531847,2.42779E+12
4,531848,2.42779E+12
4,531849,2.42779E+12
4,531850,2.42779E+12
4,531851,2.4278E+12
4,531852,2.4278E+12
4,531853,2.4278E+12
4,531854,2.4278E+12
4,531855,2.4278E+12
4,531856,2.4278E+12
4,531857,2.4278E+12
4,531858,2.42781E+12
4,531859,2.42781E+12
4,531860,2.42781E+12
4,531861,2.42781E+12
4,531862,2.42781E+12
4,531863,2.42781E+12
4,531864,2.42782E+12
4,531865,2.42782E+12
4,531866,2.42782E+12
4,531867,2.42782E+12
4,531868,2.42782E+12
4,531869,2.42782E+12
4,531870,2.42782E+12
4,531871,2.42783E+12
4,531872,2.42783E+12
4,531873,2.42783E+12
4,531874,2.42783E+12
4,531875,2.42783E+12
4,531876,2.42783E+12
4,531877,2.42783E+12
4,531878,2.42784E+12
4,531879,2.42784E+12
4,531880,2.42784E+12
4,531881,2.42784E+12
4,531882,2.42784E+12
4,531883,2.42784E+12
4,531884,2.42784E+12
4,531885,2.42785E+12
4,531886,2.42785E+12
4,531887,2.42785E+12
4,531888,2.42785E+12
4,531889,2.42785E+12
4,531890,2.42785E+12
4,531891,2.42786E+12
4,531892,2.42786E+12
4,531893,2.42786E+12
4,531894,2.42786E+12
4,531895,2.42786E+12
4,531896,2.42786E+12
4,531897,2.42786E+12
4,531898,2.42787E+12
4,531899,2.42787E+12
4,531900,2.42787E+12
4,531901,2.42787E+12
4,531902,2.42787E+12
4,531903,2.42787E+12
4,531904,2.42787E+12
