FrameIndex,VisualStim,Stim0,Stim1,Position_X,Position_Y,Speed,Motion,Layer1,Layer1_Denoised,Layer2,Layer2_Denoised,Resistant,Resistant_Denoised,Behavior,Behavior_Denoised
343,0,0,0,5.155815479999999,25.14243186,7.75,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
344,0,0,0,5.48383848,25.450062,26.98,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
345,0,0,0,5.74750497,25.65747231,20.13,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
346,0,0,0,5.96650512,25.86253881,18.0,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
347,0,0,0,6.15799026,25.99354596,13.92,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
348,0,0,0,6.2995836,26.04822054,9.11,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
349,0,0,0,6.46653369,26.09232501,10.36,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
350,0,0,0,6.56944827,26.02622061,7.34,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
351,0,0,0,6.47519634,26.232060060000002,13.58,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
352,0,0,0,6.555396630000001,26.42828106,12.72,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
353,0,0,0,6.6296973900000005,26.53681509,7.89,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
354,0,0,0,6.71847492,26.56148919,5.53,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
355,0,0,0,6.811290540000001,26.64686634,7.57,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
356,0,0,0,6.97114974,26.72870682,10.78,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
357,0,0,0,7.010431140000001,26.79200337,4.47,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
